File,Hits,Tokens,Total
mxbt,765,765,784
zzyl,549,549,560
qnlh,832,832,833
shz,802,802,803
rlws,681,681,682
sgz,1748,1748,1773
tpgj,1785,1785,1858
sjs,1538,1538,1736
lyz,649,649,668
zgzy,1319,1319,1361
dclfz,257,257,258
hxyz,572,572,585
mxbt,6,6,139
zzyl,24,24,197
qnlh,51,51,250
shz,40,40,137
rlws,28,28,147
sgz,18,18,186
tpgj,28,28,291
sjs,10,10,323
lyz,42,42,153
zgzy,43,43,306
dclfz,5,5,59
hxyz,14,14,54
