File,Hits,Tokens,Total
commiss-e3,3,3,28
coneot,5,5,163
conicodA,23,23,635
conicodC,10,10,383
conicodD,5,5,154
conicodE,7,7,120
conway-e2,7,7,28
conway2-e3,28,28,97
cook1-1776-1,137,137,828
cook2-1901-2,71,71,692
cooke1-1712-1,132,132,544
cooke2-1770-2,99,95,654
coorosiu.o2,155,154,3321
cootest.o3,169,168,5812
coprefcath1.o3,3,3,58
coprefcath2.o3,2,2,17
coprefcura.o2,3,3,37
coprefgen.o3,7,7,79
copreflives.o3,1,1,22
coprefsolilo,3,3,14
coquadru.o23,33,32,501
corood,44,44,591
cosevensl,23,23,604
cosolilo,70,68,988
cosolsat1.o4,3,3,211
cosolsat2,0,0,83
cotempo.o3,8,8,384
counc-e3,1,1,9
coverhom,167,166,3021
coverhomE,19,19,361
coverhomL,4,4,94
coverte-e2,183,181,1001
covinceB,3,3,47
covinsal,10,10,277
cowsgosp.o3,215,215,7515
cowulf.o34,46,46,1889
coyne-1855-2,86,86,1029
cromwell-e1-h,1,1,12
cromwell-e1,11,11,49
crossfield-1796-2,228,226,2550
dacre-e1,11,10,55
dalton-1808-2,86,83,398
darwin-1835-2,63,63,600
darwin-1842-2,57,57,369
davy-1814-2,82,80,499
davys-1716-1,158,157,940
decourcy-1776-2,89,88,368
defoe-1719-1,148,146,494
delapole-e1,5,5,16
dell-e3,8,8,21
deloney-e2,285,279,1405
dering-e3,24,23,99
dickens-1837-1,91,91,562
disraeli-1827-2,92,91,614
doddridge-1747-1,125,124,359
doyle-1905-2,105,105,733
dplumpt-e1,6,6,15
drummond-1718-1,75,74,434
drummond-e3,28,28,90
ebeaum-e1,7,7,30
ecumberl-e1,3,3,16
edmondes-e2,67,67,135
edward-e1,234,231,1511
ehatton-e3,4,4,17
ehatton2-e3,17,17,65
eliz-1560-e1,4,4,9
eliz-1570-e2,12,12,41
eliz-1580-e2,16,15,58
eliz-1590-e2-h,14,14,45
eliz-1590-e2-p2,2,2,8
ellis-1851-2,146,143,322
elyot-e1,180,170,560
eoxinden-1650-e3,8,8,29
eoxinden-1660-e3,41,41,186
eoxinden-1680-e3,11,11,47
epoole-e1,15,15,40
erv-new-1881-1,68,68,1043
erv-new-1881-2,163,162,1794
erv-old-1885-1,75,74,844
erv-old-1885-2,140,139,1469
essex-e2,145,144,490
essexstate-e2,155,155,488
evelyn-e3,163,162,1383
everard-e2,16,16,49
fabyan-e1,126,124,641
fallowfield-1791-2,78,77,574
faraday-1859-1,102,100,476
farquhar-e3,121,121,2155
fayrer-1900-1,97,97,605
fayrer-1900-2,26,26,119
ferguson-1756-2,95,95,323
fhatton-e3,8,8,50
fielding1-1735-2,108,108,947
fielding1-1749-1,121,118,483
fielding1-1754-2,115,113,374
fielding2-1744-2,175,175,459
fiennes-e3,111,111,1075
fisher-e1,157,149,771
fitzh-e1,202,192,1175
fleming-1886-1,87,86,521
forman-diary-e2,91,91,779
forman-e2,40,40,278
forster1-1827-2,77,76,553
