File,Hits,Tokens,Total
coleofri,40,40,146
COLERIDGE-1825-2,119,119,808
COLLIER-1835-1,86,86,1152
COLMAN-1805-1,112,112,1168
colsigef,18,18,168
colsigewB,113,113,408
colsigewZ,321,321,1244
colwgeat,55,55,306
colwsigeT,8,8,38
colwsigeXa,76,76,424
colwstan1,110,110,551
colwstan2,75,75,504
comargaC,236,236,627
comargaT,173,173,560
comart1,61,61,184
comart2,182,182,602
comart3,1040,1040,3397
comarvel,41,41,271
comary,243,243,1002
COMMISS-E3,9,9,41
coneot,75,75,262
conicodA,364,364,1318
conicodC,214,214,743
conicodD,92,92,272
conicodE,62,62,235
CONWAY-E2,8,8,57
CONWAY2-E3,33,33,201
COOK1-1776-1,229,229,997
COOK2-1901-2,94,94,648
COOKE1-1712-1,187,187,908
COOKE2-1770-2,96,96,600
coorosiu,1511,1511,6773
cootest,2949,2949,9692
coprefcath1,22,22,148
coprefcath2,3,3,26
coprefcura,18,18,118
coprefgen,21,21,173
copreflives,3,3,53
coprefsolilo,2,2,52
coquadru,112,112,646
corood,298,298,1089
cosevensl,382,382,1259
cosolilo,280,280,2636
cosolsat1,34,34,359
cosolsat2,20,20,141
cotempo,100,100,656
COUNC-E3,1,1,6
coverhom,1225,1225,5830
coverhomE,144,144,652
coverhomL,28,28,250
COVERTE-E2,520,520,1785
covinceB,16,16,101
covinsal,191,191,541
cowsgosp,3391,3391,13671
cowulf,911,911,3790
COYNE-1855-2,80,80,1143
CROMWELL-E1-H,0,0,24
CROMWELL-E1,13,13,122
CROSSFIELD-1796-2,160,160,3462
DACRE-E1,34,34,93
DALTON-1808-2,85,85,814
DARWIN-1835-2,122,122,871
DARWIN-1842-2,90,90,668
DAVY-1814-2,184,184,800
DAVYS-1716-1,166,166,1297
DECOURCY-1776-2,104,104,685
DEFOE-1719-1,266,266,1073
DELAPOLE-E1,7,7,27
DELL-E3,6,6,45
DELONEY-E2,411,411,2323
DERING-E3,24,24,175
DICKENS-1837-1,97,97,976
DISRAELI-1827-2,113,113,911
DODDRIDGE-1747-1,151,151,996
DOYLE-1905-2,146,146,1166
DPLUMPT-E1,6,6,28
DRUMMOND-1718-1,36,36,641
DRUMMOND-E3,35,35,245
EBEAUM-E1,13,13,48
ECUMBERL-E1,7,7,22
EDMONDES-E2,43,43,377
EDWARD-E1,219,219,1624
EHATTON-E3,4,4,42
EHATTON2-E3,20,20,114
ELIZ-1560-E1,1,1,19
ELIZ-1570-E2,10,10,79
ELIZ-1580-E2,4,4,115
ELIZ-1590-E2-H,7,7,145
ELIZ-1590-E2-P2,1,1,23
ELLIS-1851-2,49,49,724
ELYOT-E1,231,231,1582
EOXINDEN-1650-E3,8,8,35
EOXINDEN-1660-E3,53,53,291
EOXINDEN-1680-E3,10,10,69
EPOOLE-E1,14,14,69
ERV-NEW-1881-1,483,483,1886
ERV-NEW-1881-2,1129,1129,3160
ERV-OLD-1885-1,587,587,1145
ERV-OLD-1885-2,953,953,2311
ESSEX-E2,171,171,944
ESSEXSTATE-E2,237,237,977
EVELYN-E3,92,92,1405
EVERARD-E2,11,11,58
FABYAN-E1,329,329,1338
FALLOWFIELD-1791-2,82,82,651
FARADAY-1859-1,161,161,945
FARQUHAR-E3,235,235,1993
FAYRER-1900-1,210,210,823
FAYRER-1900-2,35,35,186
FERGUSON-1756-2,137,137,691
FHATTON-E3,13,13,68
FIELDING1-1735-2,135,135,1251
FIELDING1-1749-1,138,138,1007
FIELDING1-1754-2,140,140,930
FIELDING2-1744-2,188,188,1128
FIENNES-E3,252,252,1622
FISHER-E1,228,228,1490
FITZH-E1,550,550,1619
FLEMING-1886-1,100,100,763
FORMAN-DIARY-E2,319,319,822
FORMAN-E2,164,164,449
FORSTER1-1827-2,86,86,872
FORSTER2-1910-2,204,204,1317
FORSTER2-191X-2,177,177,1145
FOX-E3,966,966,2180
FRIAR-E1,15,15,76
FROST-1840-1,208,208,3709
