File,Hits,Tokens,Total
colsigewZ,6,6,630
colwgeat,4,4,183
colwsigeT,0,0,22
colwsigeXa,2,2,246
colwstan1,0,0,277
colwstan2,1,1,261
comargaC,13,13,244
comargaT,14,14,204
comart1,1,1,70
comart2,4,4,237
comart3,13,13,1214
comarvel,0,0,115
comary,25,25,468
COMMISS-E3,0,0,22
coneot,2,2,102
conicodA,49,49,618
conicodC,26,26,326
conicodD,12,12,123
conicodE,10,10,119
CONWAY-E2,0,0,40
CONWAY2-E3,1,1,114
COOK1-1776-1,2,2,298
COOK2-1901-2,0,0,231
COOKE1-1712-1,0,0,393
COOKE2-1770-2,0,0,249
coorosiu,27,27,3655
cootest,208,208,3434
coprefcath1,0,0,89
coprefcath2,0,0,14
coprefcura,0,0,82
coprefgen,1,1,97
copreflives,0,0,34
coprefsolilo,0,0,38
coquadru,0,0,150
corood,8,8,483
cosevensl,12,12,654
cosolilo,95,95,1591
cosolsat1,47,47,106
cosolsat2,8,8,64
cotempo,1,1,320
COUNC-E3,0,0,4
coverhom,101,101,2997
coverhomE,22,22,284
coverhomL,0,0,158
COVERTE-E2,0,0,828
covinceB,2,2,59
covinsal,9,9,262
cowsgosp,610,610,5428
cowulf,13,13,2149
COYNE-1855-2,102,102,416
CROMWELL-E1-H,0,0,23
CROMWELL-E1,0,0,88
CROSSFIELD-1796-2,627,627,2097
DACRE-E1,0,0,41
DALTON-1808-2,19,19,459
DARWIN-1835-2,4,4,327
DARWIN-1842-2,6,6,340
DAVY-1814-2,0,0,328
DAVYS-1716-1,73,73,586
DECOURCY-1776-2,23,23,380
DEFOE-1719-1,5,5,594
DELAPOLE-E1,0,0,17
DELL-E3,0,0,30
DELONEY-E2,86,86,1205
DERING-E3,1,1,99
DICKENS-1837-1,53,53,438
DISRAELI-1827-2,29,29,395
DODDRIDGE-1747-1,2,2,688
DOYLE-1905-2,55,55,498
DPLUMPT-E1,0,0,19
DRUMMOND-1718-1,0,0,379
DRUMMOND-E3,1,1,168
EBEAUM-E1,0,0,23
ECUMBERL-E1,0,0,13
EDMONDES-E2,0,0,272
EDWARD-E1,0,0,803
EHATTON-E3,0,0,29
EHATTON2-E3,0,0,60
ELIZ-1560-E1,0,0,14
ELIZ-1570-E2,0,0,62
ELIZ-1580-E2,3,3,89
ELIZ-1590-E2-H,1,1,122
ELIZ-1590-E2-P2,0,0,19
ELLIS-1851-2,50,50,473
ELYOT-E1,39,39,1142
EOXINDEN-1650-E3,0,0,17
EOXINDEN-1660-E3,0,0,128
EOXINDEN-1680-E3,0,0,28
EPOOLE-E1,0,0,44
ERV-NEW-1881-1,110,110,812
ERV-NEW-1881-2,97,97,1398
ERV-OLD-1885-1,25,25,377
ERV-OLD-1885-2,52,52,926
ESSEX-E2,20,20,518
ESSEXSTATE-E2,16,16,576
EVELYN-E3,2,2,668
EVERARD-E2,0,0,24
FABYAN-E1,2,2,847
FALLOWFIELD-1791-2,1,1,307
FARADAY-1859-1,19,19,545
FARQUHAR-E3,240,240,776
FAYRER-1900-1,1,1,233
FAYRER-1900-2,2,2,67
FERGUSON-1756-2,2,2,400
FHATTON-E3,0,0,27
FIELDING1-1735-2,101,101,597
FIELDING1-1749-1,22,22,589
FIELDING1-1754-2,4,4,593
FIELDING2-1744-2,4,4,695
FIENNES-E3,1,1,693
FISHER-E1,80,80,882
FITZH-E1,5,5,790
FLEMING-1886-1,0,0,297
FORMAN-DIARY-E2,0,0,105
FORMAN-E2,0,0,211
FORSTER1-1827-2,2,2,405
FORSTER2-1910-2,63,63,393
FORSTER2-191X-2,51,51,470
FOX-E3,47,47,1050
FRIAR-E1,0,0,56
FROST-1840-1,880,880,2170
FROST-1840-2,366,366,987
FROUDE-1830-1,22,22,604
FRYER-E3,3,3,808
GARRICK-1759-2,121,121,426
GASCOIGNE-1500-E1,0,0,31
GASCOIGNE-1510-E1,0,0,16
GAWDY-E2,0,0,125
GCROMW-E1,0,0,56
GEORGE-1763-1,8,8,304
GIBBON-1776-1,0,0,226
GIBBON-1789-2,3,3,241
GIBSON-1729-2,0,0,520
GIFFORD-E2,171,171,1467
GISBORNE-1802-2,99,99,581
GLADSTONE-1873-1,25,25,505
GODWIN-1805-1,8,8,392
GOLDSMITH-1766-2,28,28,565
GOLDSMITH-1773-1,98,98,494
