File,Hits,Tokens,Total
coleofri,54,54,146
COLERIDGE-1825-2,251,251,808
COLLIER-1835-1,778,778,1152
COLMAN-1805-1,713,713,1168
colsigef,43,43,168
colsigewB,96,96,408
colsigewZ,299,299,1244
colwgeat,72,72,306
colwsigeT,8,8,38
colwsigeXa,104,104,424
colwstan1,164,164,551
colwstan2,169,169,504
comargaC,160,160,627
comargaT,197,197,560
comart1,54,54,184
comart2,187,187,602
comart3,1156,1156,3397
comarvel,115,115,271
comary,316,316,1002
COMMISS-E3,10,10,41
coneot,87,87,262
conicodA,385,385,1318
conicodC,229,229,743
conicodD,69,69,272
conicodE,64,64,235
CONWAY-E2,9,9,57
CONWAY2-E3,55,55,201
COOK1-1776-1,472,472,997
COOK2-1901-2,323,323,648
COOKE1-1712-1,328,328,908
COOKE2-1770-2,255,255,600
coorosiu,1634,1634,6773
cootest,3517,3517,9692
coprefcath1,37,37,148
coprefcath2,9,9,26
coprefcura,18,18,118
coprefgen,56,56,173
copreflives,16,16,53
coprefsolilo,12,12,52
coquadru,384,384,646
corood,316,316,1089
cosevensl,235,235,1259
cosolilo,860,860,2636
cosolsat1,266,266,359
cosolsat2,65,65,141
cotempo,237,237,656
COUNC-E3,1,1,6
coverhom,1709,1709,5830
coverhomE,246,246,652
coverhomL,64,64,250
COVERTE-E2,437,437,1785
covinceB,28,28,101
covinsal,97,97,541
cowsgosp,5462,5462,13671
cowulf,743,743,3790
COYNE-1855-2,749,749,1143
CROMWELL-E1-H,1,1,24
CROMWELL-E1,21,21,122
CROSSFIELD-1796-2,1832,1832,3462
DACRE-E1,18,18,93
DALTON-1808-2,289,289,814
DARWIN-1835-2,426,426,871
DARWIN-1842-2,244,244,668
DAVY-1814-2,288,288,800
DAVYS-1716-1,618,618,1297
DECOURCY-1776-2,224,224,685
DEFOE-1719-1,218,218,1073
DELAPOLE-E1,3,3,27
DELL-E3,9,9,45
DELONEY-E2,793,793,2323
DERING-E3,53,53,175
DICKENS-1837-1,494,494,976
DISRAELI-1827-2,432,432,911
DODDRIDGE-1747-1,159,159,996
DOYLE-1905-2,577,577,1166
DPLUMPT-E1,3,3,28
DRUMMOND-1718-1,226,226,641
DRUMMOND-E3,43,43,245
EBEAUM-E1,12,12,48
ECUMBERL-E1,2,2,22
EDMONDES-E2,62,62,377
EDWARD-E1,602,602,1624
EHATTON-E3,9,9,42
EHATTON2-E3,34,34,114
ELIZ-1560-E1,4,4,19
ELIZ-1570-E2,7,7,79
ELIZ-1580-E2,25,25,115
ELIZ-1590-E2-H,17,17,145
ELIZ-1590-E2-P2,3,3,23
ELLIS-1851-2,252,252,724
ELYOT-E1,248,248,1582
EOXINDEN-1650-E3,10,10,35
EOXINDEN-1660-E3,110,110,291
EOXINDEN-1680-E3,31,31,69
EPOOLE-E1,11,11,69
ERV-NEW-1881-1,701,701,1886
ERV-NEW-1881-2,730,730,3160
ERV-OLD-1885-1,206,206,1145
ERV-OLD-1885-2,484,484,2311
ESSEX-E2,275,275,944
ESSEXSTATE-E2,180,180,977
EVELYN-E3,647,647,1405
EVERARD-E2,23,23,58
FABYAN-E1,164,164,1338
FALLOWFIELD-1791-2,263,263,651
FARADAY-1859-1,258,258,945
FARQUHAR-E3,1222,1222,1993
FAYRER-1900-1,381,381,823
FAYRER-1900-2,86,86,186
FERGUSON-1756-2,156,156,691
FHATTON-E3,28,28,68
FIELDING1-1735-2,620,620,1251
FIELDING1-1749-1,302,302,1007
FIELDING1-1754-2,201,201,930
FIELDING2-1744-2,249,249,1128
FIENNES-E3,678,678,1622
FISHER-E1,460,460,1490
FITZH-E1,284,284,1619
FLEMING-1886-1,366,366,763
FORMAN-DIARY-E2,398,398,822
FORMAN-E2,74,74,449
FORSTER1-1827-2,383,383,872
FORSTER2-1910-2,783,783,1317
FORSTER2-191X-2,549,549,1145
FOX-E3,211,211,2180
FRIAR-E1,5,5,76
FROST-1840-1,2211,2211,3709
FROST-1840-2,1003,1003,1752
FROUDE-1830-1,237,237,910
FRYER-E3,369,369,1378
GARRICK-1759-2,592,592,1018
GASCOIGNE-1500-E1,8,8,55
GASCOIGNE-1510-E1,7,7,27
GAWDY-E2,142,142,339
GCROMW-E1,21,21,89
GEORGE-1763-1,180,180,519
GIBBON-1776-1,291,291,664
GIBBON-1789-2,238,238,607
GIBSON-1729-2,109,109,743
GIFFORD-E2,823,823,2465
GISBORNE-1802-2,328,328,858
GLADSTONE-1873-1,515,515,1118
GODWIN-1805-1,438,438,949
GOLDSMITH-1766-2,358,358,1087
GOLDSMITH-1773-1,696,696,1196
GORDON-1781-2,1764,1764,3828
GPOOLE-1500-E1,35,35,188
GPOOLE-1510-E1,13,13,95
GRAFTING-1780-1,232,232,761
GREEN-1874-2,313,313,764
GREVILLE-1827-2,403,403,1199
GREVILLE-1855-2,326,326,1109
GREY-1914-2,381,381,1218
GREY-E1,2,2,7
HARDY-1874-2,633,633,1236
HARE-183X-2,377,377,982
HARLEY-E2,86,86,270
HARLEYEDW-E2,129,129,423
HARMAN-E1,530,530,1851
HARRIS-177X-2,302,302,941
HARRIS-1797-2,209,209,1139
HATCHER-E2,4,4,15
HAYDON-1808-1,553,553,1093
HAYDON-1842-2,661,661,1233
HAYWARD-E2,401,401,1346
HEBER-1815-2,137,137,716
HENRY-1510-E1,7,7,25
HENRY-1520-E1,13,13,119
HENRY-1530-E1,4,4,36
HERSCHEL-1797-1,353,353,754
HIND-1707-1,191,191,752
HOBSON-173X-2,421,421,844
HOBY-E2,1161,1161,2616
HODGKIN-1880-2,226,226,626
HOLCROFT-1794-2,409,409,1118
HOLMES-LETTERS-1749-1,115,115,564
HOLMES-TRIAL-1749-1,1092,1092,2418
HOOKE-E3,205,205,1549
HOOKER-A-E2,243,243,814
HOOKER-B-E2,261,261,770
HOOLE-E3,199,199,1448
HOXINDEN-1640-E3,128,128,351
HOXINDEN-1650-E3,114,114,474
HOXINDEN-1660-E3,157,157,438
HUME-1757-2,260,260,747
HUME-1776-2,97,97,253
HUNT-1844-2,247,247,655
HUXLEY-186X-2,236,236,794
HUXLEY-1889-2,116,116,414
INCHBALD-1793-2,598,598,1145
INNES-1902-2,367,367,743
INTERVIEW-E1,2,2,19
IPLUMPT-E1,8,8,46
JACKSON-E3,8,8,48
JBARRING-E2,71,71,252
JETAYLOR-E3,280,280,1103
JETAYLORMEAS-E3,169,169,884
JOHNSON-1759-2,396,396,1013
JOHNSON-176X-2,417,417,1102
JOHNSON-1775-1,559,559,1219
JOHNSTONE-1786-2,652,652,1094
JOPINNEY-E3,119,119,341
JOTAYLOR-E2,527,527,2317
JOXINDEN-E2,46,46,211
JPINNEY-E3,44,44,133
JUBARRING-E2,19,19,132
JUDALL-E2,276,276,969
JUSTICE-1739-2,436,436,1229
KEIMER-1718-2,531,531,1576
KIMBER-1742-1,210,210,774
KINGLAKE-1844-2,317,317,923
KINGSLEY-1897-2,394,394,1037
KIRKLAND-1774-2,203,203,755
KNOX-1786-2,363,363,776
KNYVETON-1752-ACTUALLY-GRAY-1937-2,176,176,853
KNYVETT-1620-E2-H,104,104,318
KNYVETT-1620-E2-P1,195,195,527
KNYVETT-1630-E2,131,131,375
KOXINDEN-E2,32,32,75
KPASTON-E2,75,75,253
KSCROPE-1530-E1,4,4,17
KSCROPE-1580-E2,7,7,14
