File,Hits,Tokens,Total
colawger,42,42,74
colawine,276,276,440
colawnorthu,131,131,215
colawwllad,16,16,26
coleofri,52,52,146
COLERIDGE-1825-2,438,438,808
COLLIER-1835-1,287,287,1152
COLMAN-1805-1,343,343,1168
colsigef,107,107,168
colsigewB,199,199,408
colsigewZ,624,624,1244
colwgeat,179,179,306
colwsigeT,22,22,38
colwsigeXa,244,244,424
colwstan1,277,277,551
colwstan2,260,260,504
comargaC,231,231,627
comargaT,190,190,560
comart1,69,69,184
comart2,233,233,602
comart3,1201,1201,3397
comarvel,115,115,271
comary,443,443,1002
COMMISS-E3,22,22,41
coneot,100,100,262
conicodA,569,569,1318
conicodC,300,300,743
conicodD,111,111,272
conicodE,109,109,235
CONWAY-E2,40,40,57
CONWAY2-E3,113,113,201
COOK1-1776-1,296,296,997
COOK2-1901-2,231,231,648
COOKE1-1712-1,393,393,908
COOKE2-1770-2,249,249,600
coorosiu,3628,3628,6773
cootest,3226,3226,9692
coprefcath1,89,89,148
coprefcath2,14,14,26
coprefcura,82,82,118
coprefgen,96,96,173
copreflives,34,34,53
coprefsolilo,38,38,52
coquadru,150,150,646
corood,475,475,1089
cosevensl,642,642,1259
cosolilo,1496,1496,2636
cosolsat1,59,59,359
cosolsat2,56,56,141
cotempo,319,319,656
COUNC-E3,4,4,6
coverhom,2896,2896,5830
coverhomE,262,262,652
coverhomL,158,158,250
COVERTE-E2,828,828,1785
covinceB,57,57,101
covinsal,253,253,541
cowsgosp,4818,4818,13671
cowulf,2136,2136,3790
COYNE-1855-2,314,314,1143
CROMWELL-E1-H,23,23,24
CROMWELL-E1,88,88,122
CROSSFIELD-1796-2,1467,1467,3462
DACRE-E1,41,41,93
DALTON-1808-2,440,440,814
DARWIN-1835-2,323,323,871
DARWIN-1842-2,334,334,668
DAVY-1814-2,328,328,800
DAVYS-1716-1,513,513,1297
DECOURCY-1776-2,357,357,685
DEFOE-1719-1,589,589,1073
DELAPOLE-E1,17,17,27
DELL-E3,30,30,45
DELONEY-E2,1119,1119,2323
DERING-E3,98,98,175
DICKENS-1837-1,385,385,976
DISRAELI-1827-2,365,365,911
DODDRIDGE-1747-1,686,686,996
DOYLE-1905-2,443,443,1166
DPLUMPT-E1,19,19,28
DRUMMOND-1718-1,379,379,641
DRUMMOND-E3,167,167,245
EBEAUM-E1,23,23,48
ECUMBERL-E1,13,13,22
EDMONDES-E2,272,272,377
EDWARD-E1,803,803,1624
EHATTON-E3,29,29,42
EHATTON2-E3,60,60,114
ELIZ-1560-E1,14,14,19
ELIZ-1570-E2,62,62,79
ELIZ-1580-E2,86,86,115
ELIZ-1590-E2-H,121,121,145
ELIZ-1590-E2-P2,19,19,23
ELLIS-1851-2,423,423,724
ELYOT-E1,1103,1103,1582
EOXINDEN-1650-E3,17,17,35
EOXINDEN-1660-E3,128,128,291
EOXINDEN-1680-E3,28,28,69
EPOOLE-E1,44,44,69
ERV-NEW-1881-1,700,700,1886
ERV-NEW-1881-2,1299,1299,3160
ERV-OLD-1885-1,351,351,1145
ERV-OLD-1885-2,874,874,2311
ESSEX-E2,498,498,944
ESSEXSTATE-E2,560,560,977
EVELYN-E3,666,666,1405
EVERARD-E2,24,24,58
FABYAN-E1,845,845,1338
FALLOWFIELD-1791-2,306,306,651
FARADAY-1859-1,526,526,945
FARQUHAR-E3,536,536,1993
FAYRER-1900-1,232,232,823
FAYRER-1900-2,65,65,186
FERGUSON-1756-2,398,398,691
FHATTON-E3,27,27,68
FIELDING1-1735-2,496,496,1251
FIELDING1-1749-1,567,567,1007
FIELDING1-1754-2,589,589,930
FIELDING2-1744-2,690,690,1128
FIENNES-E3,692,692,1622
FISHER-E1,802,802,1490
FITZH-E1,785,785,1619
FLEMING-1886-1,297,297,763
FORMAN-DIARY-E2,105,105,822
FORMAN-E2,211,211,449
FORSTER1-1827-2,403,403,872
FORSTER2-1910-2,330,330,1317
FORSTER2-191X-2,417,417,1145
FOX-E3,1003,1003,2180
FRIAR-E1,56,56,76
FROST-1840-1,1284,1284,3709
FROST-1840-2,621,621,1752
FROUDE-1830-1,582,582,910
FRYER-E3,805,805,1378
GARRICK-1759-2,305,305,1018
GASCOIGNE-1500-E1,31,31,55
GASCOIGNE-1510-E1,16,16,27
GAWDY-E2,125,125,339
GCROMW-E1,56,56,89
GEORGE-1763-1,296,296,519
GIBBON-1776-1,226,226,664
GIBBON-1789-2,238,238,607
GIBSON-1729-2,520,520,743
GIFFORD-E2,1296,1296,2465
GISBORNE-1802-2,482,482,858
GLADSTONE-1873-1,480,480,1118
GODWIN-1805-1,384,384,949
GOLDSMITH-1766-2,537,537,1087
GOLDSMITH-1773-1,396,396,1196
GORDON-1781-2,1748,1748,3828
GPOOLE-1500-E1,114,114,188
GPOOLE-1510-E1,59,59,95
GRAFTING-1780-1,407,407,761
GREEN-1874-2,282,282,764
GREVILLE-1827-2,594,594,1199
GREVILLE-1855-2,594,594,1109
GREY-1914-2,760,760,1218
GREY-E1,4,4,7
HARDY-1874-2,412,412,1236
HARE-183X-2,500,500,982
HARLEY-E2,131,131,270
HARLEYEDW-E2,224,224,423
HARMAN-E1,843,843,1851
HARRIS-177X-2,517,517,941
HARRIS-1797-2,866,866,1139
HATCHER-E2,8,8,15
HAYDON-1808-1,396,396,1093
HAYDON-1842-2,409,409,1233
HAYWARD-E2,753,753,1346
HEBER-1815-2,486,486,716
HENRY-1510-E1,16,16,25
HENRY-1520-E1,93,93,119
HENRY-1530-E1,25,25,36
HERSCHEL-1797-1,284,284,754
HIND-1707-1,461,461,752
HOBSON-173X-2,340,340,844
HOBY-E2,485,485,2616
HODGKIN-1880-2,329,329,626
HOLCROFT-1794-2,567,567,1118
HOLMES-LETTERS-1749-1,375,375,564
HOLMES-TRIAL-1749-1,1051,1051,2418
HOOKE-E3,1087,1087,1549
HOOKER-A-E2,498,498,814
HOOKER-B-E2,443,443,770
HOOLE-E3,1072,1072,1448
HOXINDEN-1640-E3,192,192,351
HOXINDEN-1650-E3,304,304,474
HOXINDEN-1660-E3,221,221,438
HUME-1757-2,375,375,747
HUME-1776-2,109,109,253
HUNT-1844-2,327,327,655
HUXLEY-186X-2,464,464,794
HUXLEY-1889-2,229,229,414
INCHBALD-1793-2,427,427,1145
INNES-1902-2,250,250,743
INTERVIEW-E1,14,14,19
IPLUMPT-E1,17,17,46
JACKSON-E3,28,28,48
JBARRING-E2,142,142,252
JETAYLOR-E3,498,498,1103
JETAYLORMEAS-E3,501,501,884
JOHNSON-1759-2,456,456,1013
JOHNSON-176X-2,544,544,1102
JOHNSON-1775-1,503,503,1219
JOHNSTONE-1786-2,321,321,1094
JOPINNEY-E3,158,158,341
JOTAYLOR-E2,1266,1266,2317
JOXINDEN-E2,120,120,211
JPINNEY-E3,58,58,133
JUBARRING-E2,86,86,132
JUDALL-E2,533,533,969
JUSTICE-1739-2,518,518,1229
KEIMER-1718-2,846,846,1576
KIMBER-1742-1,432,432,774
KINGLAKE-1844-2,424,424,923
KINGSLEY-1897-2,411,411,1037
KIRKLAND-1774-2,405,405,755
KNOX-1786-2,312,312,776
KNYVETON-1752-ACTUALLY-GRAY-1937-2,424,424,853
KNYVETT-1620-E2-H,148,148,318
KNYVETT-1620-E2-P1,243,243,527
KNYVETT-1630-E2,157,157,375
KOXINDEN-E2,28,28,75
KPASTON-E2,133,133,253
KSCROPE-1530-E1,8,8,17
KSCROPE-1580-E2,4,4,14
LANCASTER1-1806-1,351,351,843
LANCASTER2-1794-2,302,302,571
LANGF-E3,1046,1046,1606
LATIMER-E1,766,766,1607
LAWRENCE-1908-2,347,347,1120
LAYARD-1894-2,416,416,928
LAYER-1723-2,2571,2571,4953
LEATHES-1913-2,332,332,955
LEFEVRE-1843-2,352,352,895
LELAND-E1,550,550,1712
LIDDON-1889-2,445,445,864
LIND-1753-1,307,307,571
LINGARD-1823-2,283,283,705
LISLE-E3,1010,1010,2341
LOCKE-E3,1074,1074,1687
LONG-1866-1,433,433,974
LORDS-E1,19,19,26
LOUDON-1806-2,313,313,666
LYELL-1830-1,396,396,674
MACAULAY-1833-2,306,306,821
MACAULAY-1843-2,405,405,965
MACAULAY-1849-2,335,335,750
MACHYN-E1,261,261,1290
MACQUARIE-1815-2,186,186,661
MADOX-E2,1017,1017,2231
MANNERS-E1,19,19,26
MARCHES-E1,29,29,31
MARKHAM-E2,831,831,1309
MASHAM-E2,154,154,333
MATHEWS-1875-2,255,255,1166
MAURICE-1857-2,581,581,995
MAXWELL-1747-1,653,653,1088
MEMO-E3,73,73,100
MEREDITH-188X-2,226,226,979
MEREDITH-1895-1,295,295,924
MERRYTAL-E1,1429,1429,2630
MHATTON-E3,41,41,62
MHOWARD-E1,23,23,29
MIDDLET-E2,530,530,2132
MIDSHIPMAN-1767-2,414,414,1028
MILES1-1873-2,304,304,670
MILES2-1893-2,383,383,773
MILL-1854-2,567,567,1123
MILL-1871-2,443,443,811
MILTON-E3,750,750,1353
MONTAGU-1718-1,418,418,864
MONTAGUE-E3,84,84,164
MONTEFIORE-1836-1,374,374,915
MOORE-181X-2,405,405,1031
MORELET1-E1,33,33,47
MORELET2-E1,560,560,790
MORERIC-E1,1290,1290,1831
MOREWOL-E1,250,250,325
MORRIS-172X-2,321,321,997
MORTON-1813-2,277,277,1136
MOWNTAYNE-E1,549,549,1448
MOXINDEN-E2,65,65,102
MROPER-E1,639,639,896
MTUDOR-1510-E1,87,87,122
MTUDOR-1520-E1,13,13,21
NEVILL-E1,5,5,16
NEWCOME-NEW-1796-1,706,706,1906
NEWCOME-NEW-1796-2,569,569,1318
NFERRAR-E2,21,21,46
NFERRAR-E2-P2,21,21,48
NHADD-1700-E3,30,30,76
NHADD-1710-E3,24,24,50
NIGHTINGALE-1848-2,428,428,1058
NIGHTINGALE-188X-1,170,170,340
NIGHTINGALE-189X-1,267,267,599
OATES-E3,1103,1103,2905
OCONNELL-1844-2,1910,1910,5482
OFFICER-1744-1,364,364,864
OKEEFFE-1767-2,318,318,934
OKEEFFE-1826-1,204,204,672
OLDMIXON-1716-2,589,589,1025
OMAN-1895-1,231,231,803
OSBORNE-E3,87,87,129
OSMER-1759-2,451,451,779
OWEN-1813-2,380,380,748
OWEN-1847-2,393,393,749
OWEN-1857-2,434,434,947
PALGRAVE1-185X-2,303,303,776
PALGRAVE2-1863-2,276,276,720
PENNY-E3,1143,1143,2417
PEPYS-E3,852,852,1495
PERROTT-E2,925,925,1379
PETTIT-E2,36,36,71
PETTIT2-E2,37,37,58
PEYTON-E2,22,22,42
PHENRY-E3,115,115,219
PLANCHE-1827-2,331,331,1127
PLANCHE-1846-2,355,355,1040
POORE-1876-1,270,270,643
POPE-172X-2,531,531,894
PRIESTLEY-1765-2,528,528,835
PRIESTLEY-1769-1,544,544,836
PROPOSALS-E3,22,22,31
PROUD-1620-E2,3,3,17
PROUD-1630-E2,36,36,58
PURVER-NEW-1764-1,830,830,1872
PURVER-NEW-1764-2,1500,1500,3046
PURVER-OLD-1764-1,506,506,1013
PURVER-OLD-1764-2,1156,1156,2113
PUSEY-186X-1,448,448,840
PUSEY-187X-2,513,513,1002
RALEIGH-E2,909,909,1944
RCECIL-E2,213,213,314
READE-1863-1,479,479,1166
RECORD-E1,1171,1171,1958
REEVE-1777-1,394,394,1126
RFERRAR-E2,7,7,18
RHADDJR-E3,4,4,23
RHADDSR-1650-E3,93,93,169
RHADDSR-1670-E3,136,136,316
RHADDSR-1680-E3,12,12,19
RHADDSR-1700-E3,41,41,88
RHADDSR-1710-E3,8,8,21
RICH-E2,104,104,154
RICHARDSON-1858-2,378,378,641
ROBERTS-1726-2,562,562,942
ROBERTSON-1792-2,195,195,805
ROPER-E1,962,962,1366
ROXINDEN-1600-E2,12,12,20
