File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
CMAELR3-M23,1300,Non-fiction,1027,93,255,368,97,1120,720,1840
CMAELR4-M4,1440,Non-fiction,662,72,118,345,48,734,511,1245
CMANCRIW-1-M1,1228,Non-fiction,3241,323,913,1821,138,3564,2872,6436
CMANCRIW-2-M1,1228,Non-fiction,921,127,276,662,72,1048,1010,2058
CMASTRO-M3,1391,Non-fiction,283,45,103,120,1,328,224,552
CMAYENBI-M2,1340,Non-fiction,3324,444,948,1457,40,3768,2445,6213
CMBENRUL-M3,1415,Non-fiction,1367,174,194,771,8,1541,973,2514
CMBOETH-M3,1380,Non-fiction,817,111,256,192,55,928,503,1431
CMBRUT3-M3,1400,Non-fiction,2900,536,2889,673,7,3436,3569,7005
CMCAPCHR-M4,1454,Non-fiction,2217,368,1586,2284,3,2585,3873,6458
CMCAPSER-M4,1452,Sermon,72,13,31,56,1,85,88,173
CMCLOUD-M3,1390,Non-fiction,959,131,325,277,26,1090,628,1718
CMCTMELI-M3,1390,Fiction,1179,227,514,333,11,1406,858,2264
CMCTPARS-M3,1390,Fiction,1980,295,705,806,21,2275,1532,3807
CMEARLPS-M2,1350,Bible,1078,79,1705,2318,132,1157,4155,5312
CMEDMUND-M4,1438,Non-fiction,134,47,258,45,3,181,306,487
CMEDTHOR-M34,1350,Non-fiction,850,170,352,350,15,1020,717,1737
CMEDVERN-M3,1390,Non-fiction,812,138,207,452,15,950,674,1624
CMEQUATO-M3,1392,Non-fiction,222,16,74,75,0,238,149,387
CMFITZJA-M4,1495,Sermon,255,42,63,142,3,297,208,505
CMGAYTRY-M34,1357,Sermon,427,70,60,103,1,497,164,661
CMGREGOR-M4,1475,Non-fiction,814,207,1721,366,2,1021,2089,3110
CMHALI-M1,1200,Non-fiction,686,64,191,229,22,750,442,1192
CMHILTON-M34,1386,Non-fiction,310,35,95,59,0,345,154,499
CMHORSES-M3,1440,Non-fiction,326,29,84,76,0,355,160,515
CMINNOCE-M4,1497,Sermon,183,29,61,84,3,212,148,360
CMJULIA-M1,1200,Non-fiction,452,105,232,232,19,557,483,1040
CMJULNOR-M34,1400,Non-fiction,320,41,191,146,9,361,346,707
CMKATHE-M1,1200,Non-fiction,642,93,242,233,20,735,495,1230
CMKEMPE-M4,1450,Non-fiction,3745,706,2107,1796,91,4451,3994,8445
CMKENTHO-M1,1125,Sermon,304,15,119,174,36,319,329,648
